Expenses_Date,Expenses_Amount,Expenses_Description,Expenses_Category,Day_Type
17/01/2025,370.00,Food,Week 2 (5-18),School
17/01/2025,185.00,Transpo,Transportation,School
18/01/2025,240.00,Food,Week 2 (5-18),Weekend
18/01/2025,270.00,Transpo ,Transportation,Weekend
19/01/2025,60.00,Transpo,Transportation,Weekend
19/01/2025,156.00,Food,Personal,Weekend
19/01/2025,124.00,Dinner,Week 3 (19-25),Weekend
19/01/2025,100.00,Laundry,Laundry,Weekend
20/01/2025,335.00,Food,Week 3 (19-25),School
21/01/2025,454.00,Food,Week 3 (19-25),School
22/01/2025,353.00,Food,Week 3 (19-25),Regular
22/01/2025,550.00,Meralco Load,Power Bill,Regular
23/01/2025,360.00,Food,Week 3 (19-25),School
24/01/2025,210.00,Food,Week 3 (19-25),School
24/01/2025,327.00,Food,Week 3 (19-25),School
24/01/2025,130.00,KTV,Personal,School
24/01/2025,35.00,Water,Personal,School
25/01/2025,120.00,Transpo,Transportation,Weekend
25/01/2025,469.00,Donut,Personal,Weekend
25/01/2025,250.00,Lalamove,Personal,Weekend
25/01/2025,"2,800.00",Digi Cam,Personal,Weekend
25/01/2025,"1,095.00",Card Reader + SC Card,Personal,Weekend
25/01/2025,145.00,Transpo,Transportation,Weekend
26/01/2025,380.00,Phone Case,Personal,Weekend
26/01/2025,50.00,Transpo ,Transportation,Weekend
26/01/2025,306.00,Food,Week 4 (26-31),Weekend
27/01/2025,500.00,Food,Week 4 (26-31),School
27/01/2025,200.00,Laundry,Laundry,School
27/01/2025,100.00,Beep Card Load,Transportation,School
27/01/2025,76.00,Transpo,Transportation,School
28/01/2025,380.00,Food,Week 4 (26-31),School
28/01/2025,300.00,Personal,Personal,School
29/01/2025,607.00,Food,Week 4 (26-31),Regular
29/01/2025,20.00,Transpo,Transportation,Regular
29/01/2025,60.00,Training ,Personal,Regular
30/01/2025,349.00,Food,Week 4 (26-31),School
30/01/2025,75.00,Spotify,Personal,School
31/01/2025,60.00,Food,Week 4 (26-31),School
01/02/2025,80.00,Dinner,Week 1 (2-8),Weekend
01/02/2025,200.00,Laundry,Laundry,Weekend
02/02/2025,400.00,Wifi,Internet Bill,Weekend
02/02/2025,"6,500.00",Feb Rent,Feb Rent,Weekend
02/02/2025,255.00,Food,Personal,Weekend
02/02/2025,238.00,Move It,Transportation,Weekend
03/02/2025,419.00,Food,Week 1 (2-8),School
03/02/2025,150.00,Water,Water Bill,School
03/02/2025,150.00,KTV,Personal,School
03/02/2025,"3,300.00",Tuition Payment ,Tuition,School
04/02/2025,510.00,Food,Week 1 (2-8),School
